claim,evidence_source,metric,ndu_value,comparator_value,margin,status,interpretation
fixed_preference_and_fixed_valuation_embedding,Theorem fixed_preference_embedding_strictness,policy_class_inclusion,1.0,1.0,0.0,proved_nested_embeddings,Original-state fixed-preference/action-only policies and augmented-state fixed-theta action-only policies embed in NDU by fixing theta to the frozen preference value and suppressing valuation adjustment.
strict_generalization_exact_policy_class_dp,inventory_exact_policy_class_dp_metrics.csv,expected_avg_welfare,-2.357713805136161,-2.5554040723957385,0.19769026725957772,strict_exact_dp_gain,The solved nested finite-state valuation-control class strictly improves the embedded action-only fixed-preference class on the valuation objective.
strict_generalization_exact_valuation_mdp,inventory_exact_valuation_control_mdp_metrics.csv,expected_avg_welfare,-0.254285892698,-0.269386418594,0.015100525895999972,strict_exact_mdp_gain,The exact valuation-state Bellman recursion improves over the embedded fixed-theta action-only row with identical theta-free cost in this instance.
nbo_hjb_solver_certificate_domain,theory_covered_hjb_audit.csv,hjb_quadratic_residual_max,1.56125112838e-16,1e-12,9.99843874887162e-13,residual_certificate_pass,"On the compact clipped theorem-covered instance, the HJB residual, value-gradient RMSE, direct-P RMSE, and small-coupling bound certify the solver route inside the theorem assumptions."
uniform_residual_greedy_hjb_solver_certificate,uniform_hjb_greedy_certificate.csv,uniform_residual_terminal_greedy_certificate_bound,2.2454260673e-16,0.020190265445,0.020190265444999776,uniform_hjb_solver_certificate_pass,"Analytic compact NDU LQ audit verifies the theorem ingredients with residual 2.25e-16, zero terminal and greedy gaps, and gives an explicit NBO sequence whose residual/terminal/greedy certificate bound shrinks to 0.02019 at gamma=0.01."
finite_cover_inventory_bellman_hjb_certificate,inventory_finite_cover_hjb_certificate.csv,finite_cover_certificate_bound,0.0,0.19769026726,0.19769026726,finite_cover_inventory_hjb_certificate_pass,"On the exact inventory finite state-time/action cover (122 states, 1220 Bellman nodes, 16 nested Full controls), terminal residual, Bellman/HJB residual, and greedy gap are all zero while Full valuation-control improves the embedded action-only face by 0.19769 average welfare."
inventory_cover_refinement_hjb_certificate_sequence,inventory_cover_refinement_certificate.csv,nested_cover_fill_distance_and_margin,0.19769026726,0.0,0.19769026726,nested_cover_refinement_certificate_pass,Nested inventory action covers have zero terminal/Bellman/greedy certificate gaps at every level; the fill-distance proxy shrinks from 1.206 to 0.546 and the Full-minus-action welfare margin rises monotonically from 0 to 0.19769.
hjb_solver_certificate_ladder_closure,hjb_solver_certificate_ladder.csv,proof_sampled_representation_certificate_rungs,7.0,4.0,3.0,certificate_ladder_closure_pass,"Seven-rung ladder aligns compact exact, analytic uniform, finite-cover, cover-refinement, sampled Exp I/inventory gap closure, and direct-P neural representation guard rows under one residual/terminal/greedy/value certificate architecture."
referee_objection_closure_matrix,referee_objection_closure_audit.csv,closed_referee_objection_count,6.0,6.0,0.0,referee_objection_closure_pass,"Six major objections are mapped to theorem/proof anchors and reproducible evidence: generalized-RL status, HJB certification, finite-cover refinement, sampled neural gaps, direct-P representation, and same-information/budget fairness."
neural_validation_cover_hjb_gap_certificate,neural_validation_cover_hjb_gap_audit.csv,validation_cover_residual_terminal_greedy_rollout_tuple,2.0,2.0,0.0,validation_cover_gap_tuple_pass,"Large Exp I and inventory HBO/NBO rows report the validation-cover HJB tuple: Exp I native ratio 0.139, normalized ratio 0.303, greedy p95 2.777; inventory native ratio 0.192, normalized ratio 0.979, greedy p95 29.327."
